;727;4867;DISEÑO Y MANTENIMIENTO DE INSTALACIONES Y EQUIPOS ELECTRICOS-ELECTRONICOS;;;
;727;4868;PROYECTO ELECTROMECANICO;;;
;727;4869;AUTOMATIZACON Y CONTROL;;;
;727;4870;LABORATORIO Y ENSAYOS ELECTROMECANICOS II;;;
;727;4871;PRACTICAS PROFESIONALIZANTES II;;;
;738;4848;MANTENIMIENTO, CONVERSION Y REPARACION DE SOFTWARE;;;
;738;4849;MANTENIMIENTO Y MANEJOS DE DATOS;;;
;738;4850;GESTION Y COMERCIALIZACION DE SERVICIOS INFORMATICOS;;;
;738;4851;MARCO JURIDICO;;;
;738;4852;GESTION DE LOS PROCESOS PRODUCTIVOS;;;
;738;4853;ESTADISTICA;;;
;738;4854;PROGRAMACION APLICADA;;;
;738;4855;DISEÑO DE APLICACIONES INFORMATICAS II;;;
;738;4856;LABORATORIO DE HARDWARE;;;
;738;4857;LABORATORIO DE SOFTWARE;;;
;738;4858;PRACTICAS PROFESIONALIZANTES;;;
;738;4859;EDUCACION FISICA;;;
;738;4860;LENGUA EXTRANJERA INGLES TECNICO;;;
;740;4872;MARCO JURIDICO;5;;
;740;4873;GESTION DE LOS PROCESOS PRODUCTIVOS;7;;
;740;4874;EDUCACION FISICA;8;;
;740;4875;LENGUA EXTRANJERA INGLES TECNICO;5;;
;740;4876;MODELIZACION DE SISTEMAS ELECTROMECANICOS;6;;
;740;4877;DISEÑO Y MANTENIMIENTO DE INSTALACIONES Y EQUIPOS MECANICOS;7;;
;740;4878;DISEÑO Y MANTENIMIENTO DE INSTALACIONES Y EQUIPOS ELECTRICOS-ELECTRONICOS;7;;
;740;4879;PROYECTO ELECTROMECANICO;5;;
;740;4880;AUTOMATIZACON Y CONTROL;4;;
;740;4881;LABORATORIO Y ENSAYOS ELECTROMECANICOS II;5;;
;740;4882;PRACTICAS PROFESIONALIZANTES II;;;
;747;5118;MARCO JURIDICO;4;;
;747;5119;EDUCACION FISICA;7;;
;747;5120;LENGUA EXTRANJERA INGLES TECNICO;7;;
;747;5121;PRACTICAS PROFESIONALIZANTES;;;
;747;5122;ADMINISTRACION Y CONDUCCION DE OBRAS;5;;
;747;5123;CONSTRUCCION Y MANTENIMIENTO DE OBRAS VIALES Y TOPOGRAFIA;6;;
;747;5124;IDEA Y DISENO DE EDIFICIOS;6;;
;747;5125;EVALUCACION TECNICA Y COMERCIAL DE EDIFICIOS;7;;
;747;5126;IDEA Y DISENO DE LA ESCTRUCTURA DE EDIFICIOS;6;;
;747;5127;ESTRUCTURA SISMORESISTENTE;10;;
;748;5118;MARCO JURIDICO;8;;
;748;5119;EDUCACION FISICA;8;;
;748;5120;LENGUA EXTRANJERA INGLES TECNICO;7;;
;748;5121;PRACTICAS PROFESIONALIZANTES;;;
;748;5122;ADMINISTRACION Y CONDUCCION DE OBRAS;7;;
;748;5123;CONSTRUCCION Y MANTENIMIENTO DE OBRAS VIALES Y TOPOGRAFIA;6;;
;748;5124;IDEA Y DISENO DE EDIFICIOS;6;;
;748;5125;EVALUCACION TECNICA Y COMERCIAL DE EDIFICIOS;7;;
;748;5126;IDEA Y DISENO DE LA ESCTRUCTURA DE EDIFICIOS;7;;
;748;5127;ESTRUCTURA SISMORESISTENTE;7;;
;753;4767;INGLES TECNICO II;7;;
;753;4768;ANALISIS MATEMATICO;7;;
;753;4769;ECONOMIA;7;;
;753;4770;EDUCACION FISICA V;7;;
;753;4774;CONSTRUCCION / MANTENIMIENTO DE LA OBRA FINA;5;;
;753;4775;CONSTRUCCION / MANTENIMIENTO DE LAS INSTALACIONES SANITARIAS;7;;
;753;4776;IDEA/ DISE O DE LA OBRA DE METALICA Y DE MADERA;6;;
